BD_MUST_NO	PD
10000	0,009
10001	0,01
10002	0,01
10003	0,01
10004	0,01
10005	0,01
10006	0,01
10007	0,01
10008	0,01
10009	0,01
10010	0,01
10011	0,01
10012	0,01
10013	0,011
10014	0,011
10015	0,011
10016	0,011
10017	0,011
10018	0,011
10019	0,011
10020	0,011
10021	0,011
10022	0,011
10023	0,011
10024	0,011
10025	0,011
10026	0,011
10027	0,011
10028	0,011
10029	0,011
10030	0,011
10031	0,011
10032	0,011
10033	0,011
10034	0,011
10035	0,011
10036	0,011
10037	0,011
10038	0,011
10039	0,011
10040	0,011
10041	0,011
10042	0,011
10043	0,011
10044	0,011
10045	0,011
10046	0,011
10047	0,011
10048	0,011
10049	0,011
10050	0,011
10051	0,011
10052	0,011
10053	0,011
10054	0,011
10055	0,011
10056	0,011
10057	0,011
10058	0,011
10059	0,011
10060	0,011
10061	0,011
10062	0,011
10063	0,011
10064	0,011
10065	0,011
10066	0,011
10067	0,011
10068	0,011
10069	0,011
10070	0,011
10071	0,011
10072	0,011
10073	0,011
10074	0,011
10075	0,011
10076	0,011
10077	0,011
10078	0,011
10079	0,011
10080	0,011
10081	0,011
10082	0,011
10083	0,011
10084	0,011
10085	0,011
10086	0,011
10087	0,011
10088	0,011
10089	0,011
10090	0,011
10091	0,011
10092	0,012
10093	0,012
10094	0,012
10095	0,012
10096	0,012
10097	0,012
10098	0,012
10099	0,012
10100	0,012
10101	0,012
10102	0,012
10103	0,012
10104	0,012
10105	0,012
10106	0,012
10107	0,012
10108	0,012
10109	0,012
10110	0,012
10111	0,012
10112	0,012
10113	0,012
10114	0,012
10115	0,012
10116	0,012
10117	0,012
10118	0,012
10119	0,012
10120	0,012
10121	0,012
10122	0,012
10123	0,012
10124	0,012
10125	0,012
10126	0,012
10127	0,012
10128	0,012
10129	0,012
10130	0,012
10131	0,012
10132	0,012
10133	0,012
10134	0,012
10135	0,012
10136	0,012
10137	0,012
10138	0,012
10139	0,012
10140	0,012
10141	0,012
10142	0,012
10143	0,012
10144	0,012
10145	0,012
10146	0,012
10147	0,012
10148	0,012
10149	0,012
10150	0,012
10151	0,012
10152	0,012
10153	0,012
10154	0,012
10155	0,012
10156	0,012
10157	0,012
10158	0,012
10159	0,012
10160	0,012
10161	0,012
10162	0,012
10163	0,012
10164	0,012
10165	0,012
10166	0,012
10167	0,012
10168	0,012
10169	0,012
10170	0,012
10171	0,012
10172	0,012
10173	0,012
10174	0,012
10175	0,012
10176	0,012
10177	0,012
10178	0,013
10179	0,013
10180	0,013
10181	0,013
10182	0,013
10183	0,013
10184	0,013
10185	0,013
10186	0,013
10187	0,013
10188	0,013
10189	0,013
10190	0,013
10191	0,013
10192	0,013
10193	0,013
10194	0,013
10195	0,013
10196	0,013
10197	0,013
10198	0,013
10199	0,013
10200	0,013
10201	0,013
10202	0,013
10203	0,013
10204	0,013
10205	0,013
10206	0,013
10207	0,013
10208	0,013
10209	0,013
10210	0,013
10211	0,013
10212	0,013
10213	0,013
10214	0,013
10215	0,013
10216	0,013
10217	0,013
10218	0,013
10219	0,013
10220	0,013
10221	0,013
10222	0,013
10223	0,013
10224	0,013
10225	0,013
10226	0,013
10227	0,013
10228	0,013
10229	0,013
10230	0,013
10231	0,013
10232	0,013
10233	0,013
10234	0,013
10235	0,013
10236	0,013
10237	0,013
10238	0,013
10239	0,013
10240	0,013
10241	0,013
10242	0,013
10243	0,013
10244	0,013
10245	0,013
10246	0,013
10247	0,013
10248	0,013
10249	0,013
10250	0,013
10251	0,013
10252	0,013
10253	0,013
10254	0,013
10255	0,013
10256	0,013
10257	0,013
10258	0,013
10259	0,013
10260	0,014
10261	0,014
10262	0,014
10263	0,014
10264	0,014
10265	0,014
10266	0,014
10267	0,014
10268	0,014
10269	0,014
10270	0,014
10271	0,014
10272	0,014
10273	0,014
10274	0,014
10275	0,014
10276	0,014
10277	0,014
10278	0,014
10279	0,014
10280	0,014
10281	0,014
10282	0,014
10283	0,014
10284	0,014
10285	0,014
10286	0,014
10287	0,014
10288	0,014
10289	0,014
10290	0,014
10291	0,014
10292	0,014
10293	0,014
10294	0,014
10295	0,014
10296	0,014
10297	0,014
10298	0,014
10299	0,014
10300	0,014
10301	0,014
10302	0,014
10303	0,014
10304	0,014
10305	0,014
10306	0,014
10307	0,014
10308	0,014
10309	0,014
10310	0,014
10311	0,014
10312	0,014
10313	0,014
10314	0,014
10315	0,014
10316	0,014
10317	0,014
10318	0,014
10319	0,014
10320	0,014
10321	0,014
10322	0,014
10323	0,014
10324	0,014
10325	0,014
10326	0,014
10327	0,014
10328	0,014
10329	0,014
10330	0,014
